Centris no,Type,Date Listed,Status,Address,Size,Active price,Taxes,Old prices,Zoning,Coordinates,Description
24285205,Lot for sale,2023-06-20,Active,"Chemin du Fort, Val-des-Monts, Neighbourhood Saint-Pierre de Wakefield",496148 sqft,150000,YES,"0,00",Residential,45.6991115200--75.7824910500,Land of 11.39 Acers for sale in Val-des-Monts (St-Pierre de Wakefield). This land is located in the project 'Du Fort Estates' and includes an access to the lake: Lac à la Truite. The road is maintained all years long by city of VDM (public road). Served by Hydro and high speed internet in the neighbourhood. Must see! Call me for more informations 819-210-5602
12275538,Lot for sale,2023-06-20,Active,"Chemin des Daniel, Shawinigan, Neighbourhood Lac-à-la-Tortue",303733 sqft,79900,YES,"0,00",Residential,46.6211746800--72.6401062000,Grand terrain boisé de + de 300 000pc au Lac-à-la-Tortue avec sevice d'eau de la municipalité. Voisin de la piste cyclable et de celle de VTT/motoneige. Zonage résidentiel unifamiliale. Aucun voisin. Faites une offre!!
21135095,Lot for sale,2023-06-20,Active,"Chemin du Cordon, Notre-Dame-du-Laus",65339 sqft,189000,YES,"0,00","Residential, Resort",46.1331312100--75.6640375500,"Lot 1 in the site plan. This waterfront property offers a substantive total of 82 meters of shoreline. It is also located across from the expansive section of the lake. All Falcon Ridge property owners gain access to the Community Lot and its amenities, including beach access, the community lodge and its features, and guest cabins. Fibre optic internet will be installed at the end of 2022."
9177140,Lot for sale,2023-06-20,Active,"2052, Rue de l'Amato, Saguenay (Jonquière), Neighbourhood Jonquière",6545 sqft,69500,NO,"0,00",Residential,48.4208439400--71.2782224600,"Terrain boisé de 10,280p² prêt à construire, sans voisin arrière, aux abords d'un nouveau quartier résidentiel présentement en développement."
24559204,Lot for sale,2023-06-20,Active,"Route de l'Église Sud, Sainte-Félicité (Chaudière-Appalaches)",170961 sqft,45000,NO,"0,00","Forest, Residential",46.9616288000--69.9434255900,Très beau terrain de plus de près de 171 000 pc en forêt. Zone blanche octroyant le droit de construction. Venez profiter de l'air pur et du rythme de la campagne.
25896163,Lot for sale,2023-06-20,Active,"8e Rang, Adstock, Neighbourhood Adstock",1134104 sqft,350000,NO,"0,00","Agricultural, Residential",46.0170837900--71.1068003000,"Grand domaine d'environ 10.5 hectares avec droits acquis et droits de construction, situé aux abords du Lac Bolduc à Adstock. Le terrain offre plusieurs opportunités telles que la chasse, la pêche, l'accès à des sentiers forestiers et l'accès à une plage privée! En plus d'être composé de plusieurs lots, ce terrain offre une magnifique vue panoramique sur le lac accessible via un chemin privé. Ce lot de terrains vous permettra de faire l'acquisition du petit coin de paradis dont vous rêvez.  Pour plus d'informations, contactez Jean-François Rivard au 819 740-0288"
10027617,Lot for sale,2023-06-20,Active,"Rue du Lynx, Saint-Ferréol-les-Neiges",57177 sqft,129900,NO,"0,00",Residential,47.1626541000--70.8555180000,Terrain résidentiel à vendre à Saint-Ferréol-les-Neiges. Terrain de plus 57177 pi2 localisé à proximité de la nature dans un milieu paisible où il fait bon vivre. Le terrain ne dispose pas de service. Soumettez votre offre rapidement.
16128032,Land for sale,2023-06-20,Active,"Chemin Masson, Sainte-Marguerite-du-Lac-Masson",271360 sqft,525000,NO,"0,00","Commercial, Recreational and tourism, Residential",46.0532790000--74.0810860000,"BULK SALE: one large piece of land, with the possibility to be divided into 5 building lots, located within a development project of over +/- 250 acres allowing for up to 145 doors. This land offers 271,360 SF of land and is located in the beautiful Laurentians, offering full southern exposure and sunny views. Build your home at TAO with a lifestyle resort living all year long, zoned for single-family properties, semi- detached properties & condos Live in a natural environment; gorgeous mountains, clean water and fresh air, with year-round sports and activities, less than one hour away from Montreal."
13788862,Lot for sale,2023-06-20,Active,"56, Chemin de la Baie-Thompson, Aumond",75163 sqft,214900,NO,"0,00",Residential,46.4423465700--75.8089854400,"BORD DE L'EAU AVEC PLAGE ! LAC MURRAY ! Terrain de 1.7 acres avec 330 pieds de façade sur le lac. Inclus avec le terrain :Une roulotte 1999 de 35 pieds , magnifique gazebo isolé et chauffé offrant une vue sur le lac , belle grande terrasse , un quai récent sur roue facilitant sont installation , installation septique conforme , puit de surface. Situé sur un lac navigable , excellent pour la pêche , et à proximité des pistes de motoneiges et VTT . Vous avez trouvé l'endroit parfait pour vos vacances en famille ! Pour une visite 819-660-9162"
19165765,Lot for sale,2023-06-20,Active,"Rue Gérard-Fontaine, Val-Alain",18262 sqft,53800,YES,"0,00",Residential,46.4226921200--71.7617148100,"(Lot projeté # 3) Terrain résidentiel de plus de 18,260 pi2 avec service d'égout municipal, prêts à bâtir. À proximité des sentiers de VTT et de motoneige. Secteur tranquille, réalisez votre projet ! $2,95 le pied carré (53,800$). Contactez Marcel Bergeron au 418-657-5576 info@marcelbergeron.qc.ca"
26399974,Lot for sale,2023-06-20,Active,"1420, boulevard Saint-Laurent, Montréal (Ville-Marie), Neighbourhood Central",5251 sqft,5475000,NO,"0,00","Commercial, Industrial, Residential",45.5099859500--73.5644574700,"Located in front of subway station St-Laurent between Maisonneuve and Ste-Catherine. In the heart of the Quartier des Spectacles and its many festivals. Fronting on two streets, Boul. St-Laurent and Clark. Overlooking the new ice-skating site Esplanade Tranquille. Mixed zoning allowing residential, commercial or industrial."
27277898,Lot for sale,2023-06-20,Active,"Chemin des Patriotes, Saint-Ours",55382 sqft,665000,YES,"0,00",Residential,45.8357891800--73.1377255600,"Au total, 6 terrains sont disponibles. Voir le plan projeté #2."
12438093,Lot for sale,2023-06-20,Active,"210, Rue Louis-Jolliet, Sept-Îles, Neighbourhood Moisie",7924 sqft,11000,NO,"0,00",Residential,50.2014817800--66.1614752900,"Pour investisseur, secteur résidentiel, grand terrain boisé."
25834633,Lot for sale,2023-06-20,Active,"1125Z, Rue de l'Amérique-Française, Québec (La Cité-Limoilou), Neighbourhood Vieux-Québec/Cap-Blanc/Colline parlem.",2918 sqft,695000,NO,"0,00",Residential,46.8061480000--71.2192550000,"LOCALISATION EXCEPTIONNELLE au coeur de l'activité urbaine! La COLLINE PARLEMENTAIRE Un emplacement idéal pour un projet d'agrandissement multifamilial ou pour y construire une 2ième maison ou faire des rénovations majeurs (voir addenda). En plein coeur du centre-ville de Québec entre le Vieux-Québec et Montcalm. À deux pas des Plaines d'Abraham, de la Grande-Allée, de la rue Cartier et du futur tramway. Superbe opportunité pour y construire la maison de vos rêves ou pour investisseur. Un investissement intelligent!"
13634387,Lot for sale,2023-06-20,Active,"Rue Rolland, Sainte-Adèle, Neighbourhood Sainte-Adèle",43059 sqft,90000,NO,"0,00",Residential,45.9540338800--74.1005072500,"Terrain exceptionnel de plus de 43 000 pieds carrés offrant une vue panoramique sur les montagnes environnantes. À proximité du village de Sainte-Adèle, de terrains de golf, de la piste cyclable, d'écoles et plus encore. Construisez la maison de vos rêves dans ce cadre enchanteur. Faites vites !"
22532960,Lot for sale,2023-06-20,Active,"Rue de l'Abri, Lac-Sainte-Marie",17897 sqft,219000,YES,"0,00","Other, Residential, Resort",45.9447973800--75.8759551800,"Lot directly at the bottom of Mont Ste-Marie with the possibility of building up to 6 UNITS. 100% ready to build with municipal aqueduct and municipal sewer. Incredible investment opportunity. Short-term rental allowed in the area, several residential and touristic development projects to come. You can therefore build a cottage, a single-family home, a duplex, a triplex, 4, 5 or 6 unit! Extremely profitable after construction or with time. Contact us for more information on sales and rental prices in the area and for more informations on lots and properties still available. Xavier Charron : 819-962-7764 and Sophie Delage : 819-213-6844."
20632034,Lot for sale,2023-06-20,Active,"1re Avenue, Saint-Armand",24425 sqft,124500,NO,"0,00",Residential,45.0223353600--73.0848705000,"LAND READY TO BE BUILT IN SAINT-ARMAND - Lot of 24,000ft2 allowing a single-family construction, at the end of a dead end. Located 1 min. from RTE 133, 2 min. from the US border and 3 min. from the Philipsburg municipal wharf. The building is part of a bird sanctuary under the Migratory Birds Convention Act. Come admire the birds in Saint-Armand, contact us!"
11518398,Lot for sale,2023-06-20,Active,"Rue de Rawdon Park, Rawdon",20021 sqft,39000,NO,"0,00",Residential,46.0207074900--73.8016834400,Consult
20425516,Land for sale,2023-06-20,Active,"boulevard Gouin Ouest, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/West",147308 sqft,7900000,YES,"0,00",Residential,45.4583355400--73.9275440600,Consult
11740918,Lot for sale,2023-06-20,Active,"Rue Marc, Terrebonne (Terrebonne), Neighbourhood West",46700 sqft,329500,NO,"0,00","Commercial, Residential",45.7104120600--73.8179543200,"Residential land of 46,000 square feet with no rear neighbors with easy access to Laval and Montreal. 4-wheel, snowmobile and cross-country ski trails in the backyard. 2 minutes from services. Authorization for single-family construction up to 2375 square feet per floor. Mature trees on the land. New photos available. Unique opportunity to build your dream home. Location of choice close to all services. You don't want to miss this opportunity."
23601276,Lot for sale,2023-06-20,Active,"Chemin du Lac-de-la-Truite, Mansfield-et-Pontefract",46834 sqft,124500,NO,"0,00",Residential,45.9256730500--76.7455937800,"Superb Waterfront building lot in the exclusive Domaine de la Lac Truite. Secure Single  Key Gated Access to this Exclusive Private Domaine Lac de la Truite, next to Downhill Champion Ski Hill Mount Chilly. Hydro and Bell Fibre at the road. One of the most stunning views in the region, deep, clear, clean water for swimming and all your summer water sport enjoyment."
25303660,Lot for sale,2023-06-20,Active,"Chemin Alpin, Saint-Sauveur",8215 sqft,399000,YES,"0,00",Residential,45.8873762200--74.1495114400,Superbe terrain de 8215 pieds carrés situé dans un cadre enchanteur face au Mont Sainht-Sauveur.  Possibilité de construire duplex.  Accès rapide au village et aux pentes.  Construisez votre rêve!
21810321,Lot for sale,2023-06-20,Active,"Chemin du Lac-Wayagamac, La Tuque, Neighbourhood La Tuque",50464 sqft,45000,YES,"0,00",Residential,47.4149744000--72.7710358100,"La Vallée Mercier vous offre dès maintenant 18 emplacements, tous différents, de 44 000 à 250 000 pieds carrés dans un environnement naturel, tout simplement au beau milieu de la ville."
16357518,Lot for sale,2023-06-20,Active,"Route 111, La Corne",32808 sqft,15000,NO,"0,00",Residential,48.3094340000--77.9958190000,Consult
22474992,Lot for sale,2023-06-20,Active,"Rue Métivier, Château-Richer",48875 sqft,125000,YES,"0,00",Residential,47.0261174000--71.0293065700,"Magnifique terrain auto construction permise pouvant accueillir maison unifamiliale située en pleine nature endroit rêvé pour les amateurs de sports d'hiver tel que raquette, ski de fond et ski alpin tout prêt du mont St-Anne  ainsi que des piste de motoneige. A noter Le zonage permet la location court terme , maison vacance ."
14768275,Lot for sale,2023-06-20,Active,"Rue des Rabaskas, Shawinigan, Neighbourhood Saint-Georges de Champlain",45767 sqft,459000,NO,"0,00",Residential,46.6398319700--72.6806544200,"Sublime terrain localisé au bout d'une rue sans issue dans un secteur haut de gamme situé en face de l'Île des Piles. Étant bordé et donnant accès direct à la rivière St-Maurice, le site est parfait pour la construction d'une résidence principale ou du chalet de vos rêves. L'entrée du terrain est déjà aménagée d'un chemin menant à une partie déboisée qui attends votre projet grandiose. Un quai flottant en aluminium à également été installé pour recevoir votre bateau cet été. Informez-vous des multiples possibilités qui s'offrent à vous avec ce petit paradis sur terre."
27651067,Lot for sale,2023-06-20,Active,"Rue du Lac-Pierre Nord, Saint-Alphonse-Rodriguez",26657 sqft,199500,NO,"0,00",Residential,46.1890511000--73.6908097800,Consult
23474552,Lot for sale,2023-06-20,Active,"Chemin des Montagnards, Potton",297906 sqft,400000,NO,"0,00",Residential,45.0261934000--72.3059159400,Consult
20848847,Lot for sale,2023-06-20,Active,"Rang Jason, Rouyn-Noranda, Neighbourhood D'Alembert",82213 sqft,49000,NO,"0,00",Residential,48.3459370000--79.0602810000,"Terrain à vendre à proximité du Village de D'Alembert- 82 212,65 pieds carrés - bien localisé - le rang est pavé - belles propriétés à proximité - zonage 5007 - Informez-vous (à titre informatif - voisin du 5747)"
